subjno,trialType,primeType,targetVerbType,confederateVerbTransitivity,confederateVerb,confederateAgent,confederateBeneficiary,confederateTheme,confederateAgentPos,confederateSentence,confederateImage,matcherArray1,matcherArray2,matcherArray3,matcherArray4,participantVerbTransitivity,participantVerb,participantAgent,participantBeneficiary,participantTheme,participantAgentPos,participantImage
E1N_16_1,filler,NA,NA,m,holds,wizard,NA,vase,L,E1N_16_the_wizard_holds_the_vase,wizard_holds_vase,wizard_holds_vase,soldier_brushes_vase,soldier_holds_vase,wizard_brushes_vase,d,serves,clown,artist,book,L,clown_serves_artist_book
E1N_16_1,filler,NA,NA,d,presents,chef,knight,cup,L,E1N_16_the_chef_presents_the_knight_the_cup,chef_presents_knight_cup,cowboy_presents_chef_cup,chef_presents_knight_cup,chef_presents_cowboy_cup,knight_presents_chef_cup,m,pokes,clown,NA,cake,R,clown_pokes_cake
E1N_16_1,filler,NA,NA,d,presents,pirate,knight,cup,L,E1N_16_the_pirate_presents_the_knight_the_cup,pirate_presents_knight_cup,knight_presents_pirate_vase,knight_presents_pirate_cup,pirate_presents_knight_vase,pirate_presents_knight_cup,i,ponders,artist,NA,NA,L,artist_ponders
E1N_16_1,filler,NA,NA,m,buys,wizard,NA,apple,L,E1N_16_the_wizard_buys_the_apple,wizard_buys_apple,wizard_buys_apple,chef_buys_vase,wizard_buys_vase,chef_buys_apple,m,pokes,wizard,NA,cup,L,wizard_pokes_cup
E1N_16_1,filler,NA,NA,i,waves,chef,NA,NA,R,E1N_16_the_chef_waves,chef_waves,chef_yawns,chef_waves,soldier_waves,soldier_yawns,m,holds,knight,NA,cup,L,knight_holds_cup
E1N_16_1,critical,DO,SV,d,gives,astronaut,soldier,book,L,E1N_16_the_astronaut_gives_the_soldier_the_book,astronaut_gives_soldier_book,pirate_gives_soldier_book,soldier_gives_pirate_book,soldier_gives_astronaut_book,astronaut_gives_soldier_book,d,gives,sailor,cowboy,cake,L,sailor_gives_cowboy_cake
E1N_16_1,filler,NA,NA,m,examines,soldier,NA,cup,L,E1N_16_the_soldier_examines_the_cup,soldier_examines_cup,soldier_examines_hat,knight_examines_cup,knight_examines_hat,soldier_examines_cup,d,serves,pirate,sailor,cup,R,pirate_serves_sailor_cup
E1N_16_1,filler,NA,NA,m,pokes,chef,NA,cake,L,E1N_16_the_chef_pokes_the_cake,chef_pokes_cake,wizard_pokes_cake,chef_pokes_cake,wizard_pokes_hat,chef_pokes_hat,m,pokes,chef,NA,book,R,chef_pokes_book
E1N_16_1,filler,NA,NA,i,points,sailor,NA,NA,L,E1N_16_the_sailor_points,sailor_points,sailor_sings,artist_points,sailor_points,artist_sings,i,yawns,sailor,NA,NA,R,sailor_yawns
E1N_16_1,filler,NA,NA,i,cries,pirate,NA,NA,L,E1N_16_the_pirate_cries,pirate_cries,soldier_yawns,pirate_cries,pirate_yawns,soldier_cries,d,loans,astronaut,prisoner,book,L,astronaut_loans_prisoner_book
E1N_16_1,filler,NA,NA,m,holds,pirate,NA,cake,R,E1N_16_the_pirate_holds_the_cake,pirate_holds_cake,pirate_buys_apple,pirate_holds_apple,pirate_holds_cake,pirate_buys_cake,m,holds,pirate,NA,hat,R,pirate_holds_hat
E1N_16_1,critical,DO,SV,d,lends,cowboy,knight,cake,R,E1N_16_the_cowboy_lends_the_knight_the_cake,cowboy_lends_knight_cake,knight_lends_cowboy_cake,cowboy_lends_clown_cake,cowboy_lends_knight_cake,clown_lends_cowboy_cake,d,lends,soldier,astronaut,vase,R,soldier_lends_astronaut_vase
E1N_16_1,filler,NA,NA,m,brushes,prisoner,NA,vase,R,E1N_16_the_prisoner_brushes_the_vase,prisoner_brushes_vase,prisoner_brushes_vase,pirate_examines_vase,pirate_brushes_vase,prisoner_examines_vase,i,spies,golfer,NA,NA,L,golfer_spies
E1N_16_1,filler,NA,NA,m,catches,pirate,NA,apple,R,E1N_16_the_pirate_catches_the_apple,pirate_catches_apple,pirate_buys_cup,pirate_buys_apple,pirate_catches_apple,pirate_catches_cup,m,stabs,golfer,NA,book,R,golfer_stabs_book
E1N_16_1,critical,DO,DV,d,lends,chef,sailor,apple,L,E1N_16_the_chef_lends_the_sailor_the_apple,chef_lends_sailor_apple,sailor_lends_chef_apple,sailor_lends_chef_cake,chef_lends_sailor_apple,chef_lends_sailor_cake,d,hands,clown,prisoner,book,L,clown_hands_prisoner_book
E1N_16_1,critical,PO,DV,d,offers,soldier,prisoner,vase,R,E1N_16_the_soldier_offers_the_vase_to_the_prisoner,soldier_offers_prisoner_vase,prisoner_offers_golfer_vase,prisoner_offers_soldier_vase,soldier_offers_prisoner_vase,golfer_offers_prisoner_vase,d,brings,clown,wizard,cup,L,clown_brings_wizard_cup
E1N_16_1,filler,NA,NA,d,passes,clown,wizard,book,R,E1N_16_the_clown_passes_the_wizard_the_book,clown_passes_wizard_book,cowboy_passes_clown_book,clown_passes_wizard_book,clown_passes_cowboy_book,wizard_passes_clown_book,i,yawns,chef,NA,NA,L,chef_yawns
E1N_16_1,filler,NA,NA,i,points,cowboy,NA,NA,L,E1N_16_the_cowboy_points,cowboy_points,cowboy_spies,sailor_spies,cowboy_points,sailor_points,i,sings,sailor,NA,NA,R,sailor_sings
E1N_16_1,filler,NA,NA,d,presents,chef,pirate,cup,R,E1N_16_the_chef_presents_the_pirate_the_cup,chef_presents_pirate_cup,chef_presents_pirate_cup,astronaut_presents_pirate_cup,pirate_presents_chef_cup,pirate_presents_astronaut_cup,m,drops,astronaut,NA,book,L,astronaut_drops_book
E1N_16_1,critical,PO,SV,d,brings,pirate,chef,cup,L,E1N_16_the_pirate_brings_the_cup_to_the_chef,pirate_brings_chef_cup,pirate_brings_chef_book,pirate_brings_chef_cup,chef_brings_pirate_book,chef_brings_pirate_cup,d,brings,chef,clown,apple,R,chef_brings_clown_apple
E1N_16_1,filler,NA,NA,i,cries,artist,NA,NA,R,E1N_16_the_artist_cries,artist_cries,artist_ponders,clown_cries,artist_cries,clown_ponders,m,brushes,cowboy,NA,cup,L,cowboy_brushes_cup
